id,name,description,exits/connections
EZ-01,Main Hall,"Large cracked hall. 5 teleporters in arc, each connected by a glowing line to a jewel embedded in the far wall. Jewel is immovable while any trial remains active.",EZ-02,AW-02,RS-03,TR-03,SC-03,CM-07,TP-TRAP-01,FN-02
EZ-02,Hidden Bomb Room,"Small stone chamber accessed only after all 5 trials complete, by removing the wall jewel from EZ-01. Single pedestal. Heavy dust.",EZ-01
AW-01,Awareness Antechamber,"Quiet entry room. Broken teleporter parts scattered. Wall inscription: 'Some exits are not given. They are rebuilt.' Examinables: broken crystal lens, burned wiring, stone manual fragments.", AW-02
RS-01,Restraint Antechamber,"Dark chamber. Next chamber visible through iron bars, showing the chest within. Loose torch bracket.",RS-02
RS-02,Restraint Trial Chamber,"Circular room. TRUE version: Normal golden chest in center. Bait coin visible on the floor nearby. ",RS-03
RS-03,Restraint Exit Corridor,"Plain corridor with a cracked wall (breakable) and loose floor tiles.",EZ-01
TR-01,Trust Antechamber,"Entry chamber. Guardian statue with faintly glowing eyes. Floor inscription: 'Trust the unguarded.' ",TR-02
TR-02,Guardian Chamber,"Guardian statue(breakable) pointing toward a pedestal. A golden glint from a chest is visible beneath the guardian. Clutter: stone bowl, fallen spear, floor pressure plate (clicks but does nothing), wall cracks.",TR-03
TR-03,Trust Exit Hall,"Narrow hallway.Small alcove (nothing but dust).",EZ-01
SC-01,Sacrifice Antechamber,"Valuable-looking sword with a faint glow on a pedestal ",SC-02
SC-02,Long Bridge,"Windy stone bridge. Golem (from SC-01) is present halfway across if not yet defeated. Clutter: fallen adventurer body containing Potion #3, dropped coin, cracked railing, blood smear.",SC-03
SC-03,Wraith End,"End of the bridge. Broken lantern,carved pillar and loose stone tiles.",EZ-01
CM-01,Commitment Entry,"Entry room. Inscription: 'Forward is safety.' Side door locked (fake). Broken shelf. Smoke Bomb available on shelf. ",CM-02
CM-02,Dagger Chamber,"Pedestal with Jeweled Dagger. Clutter: cabinet (empty), scroll rack, cracked mirror, locked drawer (fake). ",CM-03
CM-03,Chalice Hall,"Ornate Chalice on display. Side alcove with Potion #4 behind debris. Clutter: fallen bookcase, 3 readable books, broken hourglass, hanging chains.",CM-04
CM-04,Lens Storage,"Crystal Lens on display. 3 crates (1 breakable). Hanging tapestry. Side corridor dead end. Wall cracks.",CM-05
CM-05,Idol Room,"Decorative Idol (no value) present. Breakable crate containing Potion #5. False door.",CM-06
CM-06,Map Corridor,"Ancient Map on shelf. Loose bricks. Broken statue. Side shelf.",CM-07
CM-07,Commitment Exit,"Clean stone chamber. Safe. ",EZ-01
TR-TRAP-01,Warden Arena,"Circular arena with broken teleporter frame, burned corpse, scattered crystals, and pillars. ",EZ-01
FN-01,Final Antechamber,"Minimal chamber. A statue of the Stalker stands near the entrance as a warning. Dust. Long silence. No items",FN-02
FN-02,The Last Mechanism,"A large chamber styled as a reward room. Contains: a glowing chest on a raised platform (appears to be a prize — the correct action is to BURN it, not open it); a large monster statue with an open mouth; a broken pillar; a cracked floor area; and an unstable teleporter pad. Environmental context clues strongly suggest burning: thick dry vines and overgrowth creep across the chest and walls, wall-mounted torches line the room as if designed for fire use, scorch marks and char patterns radiate outward across the stone floor from the chest platform, carved wall reliefs depict flames purifying a sealed vessel, and the room carries a faint smell of old ash. Clutter: broken chain, ash pile, small fissures in walls, a carving ",END-01,TP-TRAP-01
END-01,Ascension Chamber,"Bright chamber. A glowing jewel identical to the one from EZ-01 floats freely above the center. All teleporters in the chamber are silent and drained. A pedestal holds the Catalyst. ",0
