String id,String name,String description,boolean stackable
I-01,Broken Torch Handle,A cracked wooden torch shaft found at the dungeon entrance.,false
I-02,Smoke Bomb,A small clay sphere filled with dark powder.,false
I-03,Strong Trial Sword,A glowing blade filled with unstable power.,false
I-04,Explosive Device,A compact cylindrical bomb, half the size of a hand.,false
I-05,Core Fragment,A glowing shard from the shattered monster statue.,false
I-06,Wall Jewel,A gem embedded in the EZ-01 entrance wall, connected to the trial teleporters by glowing lines.,false
I-07,Potion,A small vial of restorative red liquid.,true
I-08,Trial Token,A small glowing token awarded for completing a trial with the full correct solution. Visible in the player’s inventory.,false
I-09,Glowing Red Gem,A small glowing token awarded for completing a trial with the full correct solution. Visible in the player’s inventory.,false
I-10,Rubble,Broken stone fragments.,false
I-11,Bait Coin,A dull coin.,false
I-12,Small Ruby,A small red gemstone,false
I-13,Silver Sigil/Emerald Fragment,A sigil or gem dropped by the Guardian.,false
I-14,Gold Chain,A gold chain dropped by the Golem.,false
I-15,Jeweled Dagger,A decorative dagger set with gemstones.,false
I-16,Ornate Chalice,A gold ritual cup engraved with symbols.,false
I-17,Crystal Lens,A translucent optical lens.,false
I-18,Ancient Map,A worn parchment marked with faded paths.,false
I-19,Final Jewel,A jewel revealed beneath the cracked floor symbol.,false
I-20,Stalker Corpse,Stalker corpse,false
I-21,Watcher Corpse,Watcher corpse,false
