id,name,description,roomID,stackable
I-01,Broken Torch Handle,A cracked wooden torch shaft found at the dungeon entrance.,EZ-01,false
I-02,Smoke Bomb,A small clay sphere filled with dark powder.,CM-01,false
I-03,Strong Trial Sword,A glowing blade filled with unstable power.,SC-01,false
I-04,Explosive Device,A compact cylindrical bomb, half the size of a hand.,EZ-02,false
I-05,Core Fragment,A glowing shard from the shattered monster statue.,FN-02,false
I-06,Wall Jewel,A gem embedded in the EZ-01 entrance wall, connected to the trial teleporters by glowing lines.,EZ-01,false
I-07A,Potion,A small vial of restorative red liquid.,RS-03,true
I-07B,Potion,A small vial of restorative red liquid.,TR-02,true
I-07C,Potion,A small vial of restorative red liquid.,SC-02,true
I-07D,Potion,A small vial of restorative red liquid.,CM-03,true
I-07E,Potion,A small vial of restorative red liquid.,CM-05,true
I-07F,Potion,A small vial of restorative red liquid.,TP-TRAP-01,true
I-08,Trial Token,A small glowing token awarded for completing a trial with the full correct solution.,0,false
I-09,Glowing Red Gem,A glowing red gem used in the Trial of Awareness.,AW-02,false
I-10,Rubble,Broken stone fragments.,AW-02,false
I-11,Bait Coin,A dull coin.,RS-02,false
I-12,Small Ruby,A small red gemstone.,RS-03,false
I-13,Silver Sigil/Emerald Fragment,A sigil or gem dropped by the Guardian.,TR-02,false
I-14,Gold Chain,A gold chain dropped by the Golem.,SC-02,false
I-15,Jeweled Dagger,A decorative dagger set with gemstones.,CM-02,false
I-16,Ornate Chalice,A gold ritual cup engraved with symbols.,CM-03,false
I-17,Crystal Lens,A translucent optical lens.,CM-04,false
I-18,Ancient Map,A worn parchment marked with faded paths.,CM-06,false
I-19,Final Jewel,A jewel revealed beneath the cracked floor symbol.,FN-02,false
I-20,Stalker Corpse,Stalker corpse.,FN-02,false
I-21,Watcher Corpse,Watcher corpse.,AW-02,false
